company,Date,Open,High,Low,Close,Adj Close,Volume
TCS,9/8/2020,2335.949951,2390.449951,2327.050049,2348.199951,2198.024658,7453998
TCS,9/9/2020,2325,2359,2320,2327.649902,2178.78833,3866535
TCS,9/10/2020,2335,2348.5,2324.300049,2331.149902,2182.064453,2308813
TCS,9/11/2020,2330.949951,2383,2330.149902,2374.100098,2222.268311,4145424
TCS,9/14/2020,2384.100098,2505.75,2381.850098,2491.399902,2332.066162,7512131
TCS,9/15/2020,2491.399902,2538,2464.600098,2491.399902,2332.066162,7318770
TCS,9/16/2020,2488.949951,2507.600098,2477.300049,2503,2342.924561,3074003
TCS,9/17/2020,2480,2495.75,2450.600098,2460.949951,2303.563721,4828176
TCS,9/18/2020,2485,2500.399902,2436.399902,2449.899902,2293.219971,4183256
TCS,9/21/2020,2465,2504.899902,2452.149902,2465.300049,2307.635742,4598809
TCS,9/22/2020,2485,2555,2458,2522.949951,2361.598633,7499613
TCS,9/23/2020,2510,2519.850098,2409,2467.449951,2309.647705,7502280
TCS,9/24/2020,2450,2450,2302.600098,2332.25,2183.094238,8424708
TCS,9/25/2020,2368,2440,2352.100098,2422.300049,2267.385254,8228267
TCS,9/28/2020,2440,2444,2366,2426.300049,2271.129883,4347166
TCS,9/29/2020,2434.850098,2511.050049,2426.300049,2488.399902,2329.257568,6995811
TCS,9/30/2020,2489,2505,2460,2492.300049,2332.908691,3917166
TCS,10/1/2020,2510,2540,2492.300049,2523.449951,2362.066162,2610337
TCS,10/5/2020,2620,2728.100098,2603.050049,2705.800049,2532.754639,17412105
TCS,10/6/2020,2736,2736,2650.100098,2714.300049,2540.711182,9846367
TCS,10/7/2020,2742,2770,2703,2735.949951,2560.976807,9656101
TCS,10/8/2020,2800,2885,2800,2825.699951,2644.986328,19839329
TCS,10/9/2020,2810,2829.850098,2780,2812.949951,2633.052002,7739245
TCS,10/12/2020,2815.5,2854,2800.75,2830,2649.011475,4623203
TCS,10/13/2020,2845,2854.899902,2812.199951,2826.550049,2645.781738,4209878
TCS,10/14/2020,2842,2842,2787.550049,2809.600098,2641.129395,4395936
TCS,10/15/2020,2811,2827.75,2727,2740.600098,2576.266602,6629355
TCS,10/16/2020,2750.100098,2771.649902,2731.300049,2763.300049,2597.605469,5273773
TCS,10/19/2020,2774,2774,2706.600098,2711.550049,2548.958252,3331194
TCS,10/20/2020,2725,2759.899902,2717.949951,2739,2574.761963,3406273
TCS,10/21/2020,2739,2749,2663.050049,2675.399902,2514.976074,4570143
TCS,10/22/2020,2661,2686.649902,2638.100098,2671.149902,2510.980469,5262294
TCS,10/23/2020,2687.800049,2702,2670.100098,2686.800049,2525.692627,3499091
TCS,10/26/2020,2689.949951,2709.949951,2670.5,2688.199951,2527.008301,2672752
TCS,10/27/2020,2699.75,2718.149902,2624.100098,2630.149902,2472.439209,3537502
TCS,10/28/2020,2650,2655.949951,2606,2622.199951,2464.965576,3569445
TCS,10/29/2020,2608,2655,2600.25,2632.649902,2474.789307,3105968
TCS,10/30/2020,2636.100098,2674.350098,2621.600098,2664.850098,2505.058838,3427003
TCS,11/2/2020,2660,2664.850098,2600.050049,2604.600098,2448.421631,2571196
TCS,11/3/2020,2604,2665,2601.050049,2633.600098,2475.682617,2879269
TCS,11/4/2020,2610,2721.850098,2610,2653.149902,2494.060303,4893928
TCS,11/5/2020,2685,2710,2667,2685.699951,2524.658691,2816502
TCS,11/6/2020,2699,2713.25,2681.300049,2707.449951,2545.104248,3884421
TCS,11/9/2020,2731.100098,2744,2695.100098,2726.600098,2563.105957,3646592
TCS,11/10/2020,2697.199951,2713.149902,2638.350098,2649.600098,2490.723389,4760020
TCS,11/11/2020,2667.949951,2692.800049,2643.399902,2687.800049,2526.632324,3242441
TCS,11/12/2020,2686,2713,2661.75,2671.050049,2510.886475,2437505
TCS,11/13/2020,2655.75,2664.899902,2636,2656.850098,2497.53833,2548093
TCS,11/14/2020,2677.949951,2689,2660.050049,2670.350098,2510.22876,298819
TCS,11/17/2020,2695,2695,2650.050049,2666.050049,2506.186523,2827273
TCS,11/18/2020,2661,2664.199951,2607.050049,2626.649902,2469.148926,2893762
TCS,11/19/2020,2637,2676.149902,2630.850098,2636.899902,2478.783936,4167501
TCS,11/20/2020,2655,2676,2627.550049,2660.25,2500.734131,2711471
TCS,11/23/2020,2690,2730,2665,2724.25,2560.896973,3706418
TCS,11/24/2020,2734.399902,2743,2705,2722.050049,2558.828857,3120516
TCS,11/25/2020,2729,2732.949951,2688.199951,2701.300049,2539.323242,3302249
TCS,11/26/2020,2686,2730.949951,2680,2720.600098,2557.465576,2341099
TCS,11/27/2020,2705,2717.699951,2669.050049,2679.649902,2518.971191,6086808
TCS,12/1/2020,2679,2735.899902,2624.449951,2726.800049,2563.293701,3605017
TCS,12/2/2020,2719,2754.699951,2702.449951,2749.550049,2584.679443,2509032
TCS,12/3/2020,2773.899902,2773.899902,2700.800049,2709.449951,2546.984131,2852548
TCS,12/4/2020,2710.800049,2738.850098,2699,2727.550049,2563.999023,2686527
TCS,12/7/2020,2715,2744,2706.149902,2737.699951,2573.539795,1996400
TCS,12/8/2020,2740,2805.550049,2732.449951,2797.300049,2629.56665,4277818
TCS,12/9/2020,2815,2840,2793.149902,2810.800049,2642.257568,3659996
TCS,12/10/2020,2818,2827.300049,2780.25,2784.300049,2617.346191,2127801
TCS,12/11/2020,2792.699951,2807.699951,2764.550049,2783.600098,2616.688477,1795408
TCS,12/14/2020,2802,2804,2756.25,2797.699951,2629.942383,2483658
TCS,12/15/2020,2786,2794.699951,2755,2761.550049,2595.960205,2365509
TCS,12/16/2020,2779,2819.800049,2760.449951,2814.199951,2645.453369,2565149
TCS,12/17/2020,2811,2853.699951,2805,2838.199951,2668.013916,2863460
TCS,12/18/2020,2868,2898,2846.199951,2861,2689.447021,6076692
TCS,12/21/2020,2861,2886.5,2785,2820.149902,2651.046631,2705195
TCS,12/22/2020,2834,2883.649902,2818.649902,2872.5,2700.257813,2881737
TCS,12/23/2020,2876.050049,2919,2865.449951,2908.75,2734.33374,2790988
TCS,12/24/2020,2909,2921.350098,2883.199951,2909.350098,2734.897949,1807144
TCS,12/28/2020,2910,2949.699951,2902,2929.399902,2753.745117,2108994
TCS,12/29/2020,2920,2952,2920,2930.5,2754.779053,1994151
TCS,12/30/2020,2934.399902,2947.699951,2902,2909.300049,2734.85083,2637968
TCS,12/31/2020,2900,2905,2845,2862.75,2691.092041,4040956
TCS,1/1/2021,2880,2940,2879,2928.25,2752.664551,2681440
TCS,1/4/2021,2950,3050.75,2940.949951,3039.449951,2857.197021,5113293
TCS,1/5/2021,3039.600098,3114.25,3039.600098,3093,2907.535645,5801309
TCS,1/6/2021,3100,3113.5,3037.199951,3051.5,2868.52417,3726716
TCS,1/7/2021,3075,3080.850098,3000.25,3032.800049,2850.945557,3717827
TCS,1/8/2021,3090,3128,3060,3120.899902,2933.762939,5879039
TCS,1/11/2021,3230,3230,3146.550049,3176.449951,2985.981445,9508039
TCS,1/12/2021,3176.449951,3210,3150,3174.850098,2984.478027,3611458
TCS,1/13/2021,3175,3177,3126.25,3158.949951,2969.531494,3572801
TCS,1/14/2021,3155,3266.5,3120.399902,3250.699951,3061.594727,6931542
TCS,1/15/2021,3235,3274,3210,3233.350098,3045.253662,4131692
TCS,1/18/2021,3250,3256.75,3187.399902,3221.75,3034.328369,4160906
TCS,1/19/2021,3233,3279,3232,3260.699951,3071.012451,2975735
TCS,1/20/2021,3270,3327.949951,3267.100098,3308.800049,3116.314697,3453446
TCS,1/21/2021,3305,3309.149902,3262.100098,3273.850098,3083.397949,2778546
TCS,1/22/2021,3241.899902,3325,3241.899902,3303.100098,3110.946045,3052459
TCS,1/25/2021,3308.949951,3339.800049,3278.649902,3291.300049,3099.833252,2272887
TCS,1/27/2021,3300,3306.449951,3227,3261.050049,3071.342285,2786662
TCS,1/28/2021,3230,3275,3183.800049,3196.550049,3010.594727,3083938
TCS,1/29/2021,3210.050049,3216.850098,3100,3111.350098,2930.35083,5445659
TCS,2/1/2021,3100,3165,3044.100098,3139.350098,2956.722168,3985846
TCS,2/2/2021,3174,3224,3150,3203.449951,3017.093262,2881837
TCS,2/3/2021,3213,3236,3162.649902,3200.050049,3013.890869,2505866
TCS,2/4/2021,3216.050049,3237.850098,3176,3188.449951,3002.965332,2057261
TCS,2/5/2021,3198.949951,3205.850098,3129,3157.949951,2974.240234,2366135
TCS,2/8/2021,3189.5,3226,3155.149902,3214.100098,3027.124023,2526592
TCS,2/9/2021,3195,3245.800049,3164,3176.899902,2992.087646,2658751
TCS,2/10/2021,3185,3219.399902,3157.300049,3213.300049,3026.370361,2127983
TCS,2/11/2021,3215,3219.300049,3185.050049,3206,3019.494629,1165882
TCS,2/12/2021,3184.199951,3245.5,3182,3190.800049,3005.179199,2777404
TCS,2/15/2021,3209,3209,3131.550049,3139.850098,2957.193359,2630853
TCS,2/16/2021,3150,3167.649902,3100,3108.800049,2927.949463,3435770
TCS,2/17/2021,3105.100098,3132.850098,3045.550049,3073.100098,2894.326172,3678426
TCS,2/18/2021,3065,3097.899902,3031,3057.350098,2879.492676,4189909
TCS,2/19/2021,3058,3087.149902,3016.149902,3071.850098,2893.14917,3725028
TCS,2/22/2021,3096,3096,2943.149902,2958.449951,2786.345703,5366696
TCS,2/23/2021,2970,3028,2968,2980.199951,2806.830322,3832829
TCS,2/24/2021,2972,3003.350098,2921.149902,2948.100098,2776.598145,3774549
TCS,2/25/2021,2974,3029.899902,2968.449951,2995.300049,2821.052002,4224073
TCS,2/26/2021,2960,2972.350098,2880,2894.300049,2725.927734,5553153
